trial_nr	onset	event_type	phase	response	nr_frames	n	onset_abs	duration
0	0.002943499945104122	instruction	0		30		1.2334677916951478	0.5050641666166484
0	0.5080076665617526	instruction	1		341		1.7385319583117962	5.6821883749216795
0	6.184510499704629	response	1	space			7.415034791454673	
0	6.190196041483432	instruction	0		30		7.420720333233476	0.5174988750368357
0	6.707694916520268	instruction	1		213		7.938219208270311	3.5553611661307514
0	10.253386041149497	response	1	space			11.48391033289954	
1	10.263056082651019	stim	0		60	10.0	11.493580374401063	1.0103773334994912
1	11.27343341615051	stim	1		286	10.0	12.503957707900554	4.766886250115931
2	16.04031966626644	stim	0		61	40.0	17.270843958016485	1.0164290415123105
2	17.056748707778752	stim	1		119	40.0	18.287272999528795	1.9835374583490193
2	19.02475537499413	response	1	space		40.0	20.255279666744173	
